09 04 91 - or [rcx + rdx * 4], eax
09 04 92 - or [rdx + rdx * 4], eax
09 04 93 - or [rbx + rdx * 4], eax
09 04 94 - or [rsp + rdx * 4], eax
09 04 95 xx xx xx xx - or [rdx * 4 + x], eax
09 04 96 - or [rsi + rdx * 4], eax
09 04 97 - or [rdi + rdx * 4], eax
09 04 98 - or [rax + rbx * 4], eax
09 04 99 - or [rcx + rbx * 4], eax
09 04 9a - or [rdx + rbx * 4], eax
09 04 9b - or [rbx + rbx * 4], eax
09 04 9c - or [rsp + rbx * 4], eax
09 04 9d xx xx xx xx - or [rbx * 4 + x], eax
09 04 9e - or [rsi + rbx * 4], eax
09 04 9f - or [rdi + rbx * 4], eax
09 04 a0 - or [rax], eax
09 04 a1 - or [rcx], eax
09 04 a2 - or [rdx], eax
09 04 a3 - or [rbx], eax
09 04 a4 - or [rsp], eax
09 04 a5 xx xx xx xx - or [x], eax
09 04 a6 - or [rsi], eax
09 04 a7 - or [rdi], eax
09 04 a8 - or [rax + rbp * 4], eax
09 04 a9 - or [rcx + rbp * 4], eax
09 04 aa - or [rdx + rbp * 4], eax
09 04 ab - or [rbx + rbp * 4], eax
09 04 ac - or [rsp + rbp * 4], eax
09 04 ad xx xx xx xx - or [rbp * 4 + x], eax
09 04 ae - or [rsi + rbp * 4], eax
09 04 af - or [rdi + rbp * 4], eax
09 04 b0 - or [rax + rsi * 4], eax
09 04 b1 - or [rcx + rsi * 4], eax
09 04 b2 - or [rdx + rsi * 4], eax
09 04 b3 - or [rbx + rsi * 4], eax
09 04 b4 - or [rsp + rsi * 4], eax
09 04 b5 xx xx xx xx - or [rsi * 4 + x], eax
09 04 b6 - or [rsi + rsi * 4], eax
09 04 b7 - or [rdi + rsi * 4], eax
09 04 b8 - or [rax + rdi * 4], eax
09 04 b9 - or [rcx + rdi * 4], eax
09 04 ba - or [rdx + rdi * 4], eax
09 04 bb - or [rbx + rdi * 4], eax
09 04 bc - or [rsp + rdi * 4], eax
09 04 bd xx xx xx xx - or [rdi * 4 + x], eax
09 04 be - or [rsi + rdi * 4], eax
09 04 bf - or [rdi + rdi * 4], eax
09 04 c0 - or [rax + rax * 8], eax
09 04 c1 - or [rcx + rax * 8], eax
09 04 c2 - or [rdx + rax * 8], eax
09 04 c3 - or [rbx + rax * 8], eax
09 04 c4 - or [rsp + rax * 8], eax
09 04 c5 xx xx xx xx - or [rax * 8 + x], eax
09 04 c6 - or [rsi + rax * 8], eax
09 04 c7 - or [rdi + rax * 8], eax
09 04 c8 - or [rax + rcx * 8], eax
09 04 c9 - or [rcx + rcx * 8], eax
09 04 ca - or [rdx + rcx * 8], eax
09 04 cb - or [rbx + rcx * 8], eax
09 04 cc - or [rsp + rcx * 8], eax
09 04 cd xx xx xx xx - or [rcx * 8 + x], eax
