00 04 98 - add [rax + rbx * 4], al
00 04 99 - add [rcx + rbx * 4], al
00 04 9a - add [rdx + rbx * 4], al
00 04 9b - add [rbx + rbx * 4], al
00 04 9c - add [rsp + rbx * 4], al
00 04 9d xx xx xx xx - add [rbx * 4 + x], al
00 04 9e - add [rsi + rbx * 4], al
00 04 9f - add [rdi + rbx * 4], al
00 04 a0 - add [rax], al
00 04 a1 - add [rcx], al
00 04 a2 - add [rdx], al
00 04 a3 - add [rbx], al
00 04 a4 - add [rsp], al
00 04 a5 xx xx xx xx - add [x], al
00 04 a6 - add [rsi], al
00 04 a7 - add [rdi], al
00 04 a8 - add [rax + rbp * 4], al
00 04 a9 - add [rcx + rbp * 4], al
00 04 aa - add [rdx + rbp * 4], al
00 04 ab - add [rbx + rbp * 4], al
00 04 ac - add [rsp + rbp * 4], al
00 04 ad xx xx xx xx - add [rbp * 4 + x], al
00 04 ae - add [rsi + rbp * 4], al
00 04 af - add [rdi + rbp * 4], al
00 04 b0 - add [rax + rsi * 4], al
00 04 b1 - add [rcx + rsi * 4], al
00 04 b2 - add [rdx + rsi * 4], al
00 04 b3 - add [rbx + rsi * 4], al
00 04 b4 - add [rsp + rsi * 4], al
00 04 b5 xx xx xx xx - add [rsi * 4 + x], al
00 04 b6 - add [rsi + rsi * 4], al
00 04 b7 - add [rdi + rsi * 4], al
00 04 b8 - add [rax + rdi * 4], al
00 04 b9 - add [rcx + rdi * 4], al
00 04 ba - add [rdx + rdi * 4], al
00 04 bb - add [rbx + rdi * 4], al
00 04 bc - add [rsp + rdi * 4], al
00 04 bd xx xx xx xx - add [rdi * 4 + x], al
00 04 be - add [rsi + rdi * 4], al
00 04 bf - add [rdi + rdi * 4], al
00 04 c0 - add [rax + rax * 8], al
00 04 c1 - add [rcx + rax * 8], al
00 04 c2 - add [rdx + rax * 8], al
00 04 c3 - add [rbx + rax * 8], al
00 04 c4 - add [rsp + rax * 8], al
00 04 c5 xx xx xx xx - add [rax * 8 + x], al
00 04 c6 - add [rsi + rax * 8], al
00 04 c7 - add [rdi + rax * 8], al
00 04 c8 - add [rax + rcx * 8], al
00 04 c9 - add [rcx + rcx * 8], al
00 04 ca - add [rdx + rcx * 8], al
00 04 cb - add [rbx + rcx * 8], al
00 04 cc - add [rsp + rcx * 8], al
00 04 cd xx xx xx xx - add [rcx * 8 + x], al
00 04 ce - add [rsi + rcx * 8], al
00 04 cf - add [rdi + rcx * 8], al
00 04 d0 - add [rax + rdx * 8], al
00 04 d1 - add [rcx + rdx * 8], al
00 04 d2 - add [rdx + rdx * 8], al
00 04 d3 - add [rbx + rdx * 8], al
00 04 d4 - add [rsp + rdx * 8], al
00 04 d5 xx xx xx xx - add [rdx * 8 + x], al
00 04 d6 - add [rsi + rdx * 8], al
00 04 d7 - add [rdi + rdx * 8], al
00 04 d8 - add [rax + rbx * 8], al
00 04 d9 - add [rcx + rbx * 8], al
00 04 da - add [rdx + rbx * 8], al
00 04 db - add [rbx + rbx * 8], al
00 04 dc - add [rsp + rbx * 8], al
00 04 dd xx xx xx xx - add [rbx * 8 + x], al
00 04 de - add [rsi + rbx * 8], al
00 04 df - add [rdi + rbx * 8], al
00 04 e0 - add [rax], al
00 04 e1 - add [rcx], al
00 04 e2 - add [rdx], al
00 04 e3 - add [rbx], al
00 04 e4 - add [rsp], al
00 04 e5 xx xx xx xx - add [x], al
00 04 e6 - add [rsi], al
00 04 e7 - add [rdi], al
00 04 e8 - add [rax + rbp * 8], al
00 04 e9 - add [rcx + rbp * 8], al
00 04 ea - add [rdx + rbp * 8], al
00 04 eb - add [rbx + rbp * 8], al
00 04 ec - add [rsp + rbp * 8], al
00 04 ed xx xx xx xx - add [rbp * 8 + x], al
00 04 ee - add [rsi + rbp * 8], al
00 04 ef - add [rdi + rbp * 8], al
00 04 f0 - add [rax + rsi * 8], al
00 04 f1 - add [rcx + rsi * 8], al
00 04 f2 - add [rdx + rsi * 8], al
00 04 f3 - add [rbx + rsi * 8], al
00 04 f4 - add [rsp + rsi * 8], al
00 04 f5 xx xx xx xx - add [rsi * 8 + x], al
00 04 f6 - add [rsi + rsi * 8], al
00 04 f7 - add [rdi + rsi * 8], al
00 04 f8 - add [rax + rdi * 8], al
00 04 f9 - add [rcx + rdi * 8], al
00 04 fa - add [rdx + rdi * 8], al
00 04 fb - add [rbx + rdi * 8], al
00 04 fc - add [rsp + rdi * 8], al
00 04 fd xx xx xx xx - add [rdi * 8 + x], al
00 04 fe - add [rsi + rdi * 8], al
00 04 ff - add [rdi + rdi * 8], al
00 05 xx xx xx xx - add [rip + x], al
00 06 - add [rsi], al
00 07 - add [rdi], al

00 08 - add [rax], cl
00 09 - add [rcx], cl
00 0a - add [rdx], cl
00 0b - add [rbx], cl
00 0c 00 - add [rax + rax], cl
00 0c 01 - add [rcx + rax], cl
00 0c 02 - add [rdx + rax], cl
00 0c 03 - add [rbx + rax], cl
00 0c 04 - add [rsp + rax], cl
00 0c 05 xx xx xx xx - add [rax + x], cl
00 0c 06 - add [rsi + rax], cl
00 0c 07 - add [rdi + rax], cl
00 0c 08 - add [rax + rcx], cl
00 0c 09 - add [rcx + rcx], cl
00 0c 0a - add [rdx + rcx], cl
00 0c 0b - add [rbx + rcx], cl
00 0c 0c - add [rsp + rcx], cl
00 0c 0d xx xx xx xx - add [rcx + x], cl
00 0c 0e - add [rsi + rcx], cl
00 0c 0f - add [rdi + rcx], cl
00 0c 10 - add [rax + rdx], cl
00 0c 11 - add [rcx + rdx], cl
00 0c 12 - add [rdx + rdx], cl
00 0c 13 - add [rbx + rdx], cl
00 0c 14 - add [rsp + rdx], cl
00 0c 15 xx xx xx xx - add [rdx + x], cl
00 0c 16 - add [rsi + rdx], cl
00 0c 17 - add [rdi + rdx], cl
00 0c 18 - add [rax + rbx], cl
00 0c 19 - add [rcx + rbx], cl
00 0c 1a - add [rdx + rbx], cl
00 0c 1b - add [rbx + rbx], cl
00 0c 1c - add [rsp + rbx], cl
00 0c 1d xx xx xx xx - add [rbx + x], cl
00 0c 1e - add [rsi + rbx], cl
00 0c 1f - add [rdi + rbx], cl
00 0c 20 - add [rax], cl
00 0c 21 - add [rcx], cl
00 0c 22 - add [rdx], cl
00 0c 23 - add [rbx], cl
00 0c 24 - add [rsp], cl
00 0c 25 xx xx xx xx - add [x], cl
00 0c 26 - add [rsi], cl
00 0c 27 - add [rdi], cl
00 0c 28 - add [rax + rbp], cl
00 0c 29 - add [rcx + rbp], cl
00 0c 2a - add [rdx + rbp], cl
00 0c 2b - add [rbx + rbp], cl
00 0c 2c - add [rsp + rbp], cl
00 0c 2d xx xx xx xx - add [rbp + x], cl
00 0c 2e - add [rsi + rbp], cl
00 0c 2f - add [rdi + rbp], cl
00 0c 30 - add [rax + rsi], cl
00 0c 31 - add [rcx + rsi], cl
00 0c 32 - add [rdx + rsi], cl
00 0c 33 - add [rbx + rsi], cl
00 0c 34 - add [rsp + rsi], cl
00 0c 35 xx xx xx xx - add [rsi + x], cl
00 0c 36 - add [rsi + rsi], cl
00 0c 37 - add [rdi + rsi], cl
00 0c 38 - add [rax + rdi], cl
00 0c 39 - add [rcx + rdi], cl
00 0c 3a - add [rdx + rdi], cl
00 0c 3b - add [rbx + rdi], cl
00 0c 3c - add [rsp + rdi], cl
00 0c 3d xx xx xx xx - add [rdi + x], cl
00 0c 3e - add [rsi + rdi], cl
00 0c 3f - add [rdi + rdi], cl
00 0c 40 - add [rax + rax * 2], cl
00 0c 41 - add [rcx + rax * 2], cl
00 0c 42 - add [rdx + rax * 2], cl
00 0c 43 - add [rbx + rax * 2], cl
00 0c 44 - add [rsp + rax * 2], cl
00 0c 45 xx xx xx xx - add [rax * 2 + x], cl
00 0c 46 - add [rsi + rax * 2], cl
00 0c 47 - add [rdi + rax * 2], cl
00 0c 48 - add [rax + rcx * 2], cl
00 0c 49 - add [rcx + rcx * 2], cl
00 0c 4a - add [rdx + rcx * 2], cl
00 0c 4b - add [rbx + rcx * 2], cl
00 0c 4c - add [rsp + rcx * 2], cl
00 0c 4d xx xx xx xx - add [rcx * 2 + x], cl
00 0c 4e - add [rsi + rcx * 2], cl
00 0c 4f - add [rdi + rcx * 2], cl
00 0c 50 - add [rax + rdx * 2], cl
00 0c 51 - add [rcx + rdx * 2], cl
00 0c 52 - add [rdx + rdx * 2], cl
00 0c 53 - add [rbx + rdx * 2], cl
00 0c 54 - add [rsp + rdx * 2], cl
00 0c 55 xx xx xx xx - add [rdx * 2 + x], cl
00 0c 56 - add [rsi + rdx * 2], cl
00 0c 57 - add [rdi + rdx * 2], cl
00 0c 58 - add [rax + rbx * 2], cl
