01 04 91 - add [rcx + rdx * 4], eax
01 04 92 - add [rdx + rdx * 4], eax
01 04 93 - add [rbx + rdx * 4], eax
01 04 94 - add [rsp + rdx * 4], eax
01 04 95 xx xx xx xx - add [rdx * 4 + x], eax
01 04 96 - add [rsi + rdx * 4], eax
01 04 97 - add [rdi + rdx * 4], eax
01 04 98 - add [rax + rbx * 4], eax
01 04 99 - add [rcx + rbx * 4], eax
01 04 9a - add [rdx + rbx * 4], eax
01 04 9b - add [rbx + rbx * 4], eax
01 04 9c - add [rsp + rbx * 4], eax
01 04 9d xx xx xx xx - add [rbx * 4 + x], eax
01 04 9e - add [rsi + rbx * 4], eax
01 04 9f - add [rdi + rbx * 4], eax
01 04 a0 - add [rax], eax
01 04 a1 - add [rcx], eax
01 04 a2 - add [rdx], eax
01 04 a3 - add [rbx], eax
01 04 a4 - add [rsp], eax
01 04 a5 xx xx xx xx - add [x], eax
01 04 a6 - add [rsi], eax
01 04 a7 - add [rdi], eax
01 04 a8 - add [rax + rbp * 4], eax
01 04 a9 - add [rcx + rbp * 4], eax
01 04 aa - add [rdx + rbp * 4], eax
01 04 ab - add [rbx + rbp * 4], eax
01 04 ac - add [rsp + rbp * 4], eax
01 04 ad xx xx xx xx - add [rbp * 4 + x], eax
01 04 ae - add [rsi + rbp * 4], eax
01 04 af - add [rdi + rbp * 4], eax
01 04 b0 - add [rax + rsi * 4], eax
01 04 b1 - add [rcx + rsi * 4], eax
01 04 b2 - add [rdx + rsi * 4], eax
01 04 b3 - add [rbx + rsi * 4], eax
01 04 b4 - add [rsp + rsi * 4], eax
01 04 b5 xx xx xx xx - add [rsi * 4 + x], eax
01 04 b6 - add [rsi + rsi * 4], eax
01 04 b7 - add [rdi + rsi * 4], eax
01 04 b8 - add [rax + rdi * 4], eax
01 04 b9 - add [rcx + rdi * 4], eax
01 04 ba - add [rdx + rdi * 4], eax
01 04 bb - add [rbx + rdi * 4], eax
01 04 bc - add [rsp + rdi * 4], eax
01 04 bd xx xx xx xx - add [rdi * 4 + x], eax
01 04 be - add [rsi + rdi * 4], eax
01 04 bf - add [rdi + rdi * 4], eax
01 04 c0 - add [rax + rax * 8], eax
01 04 c1 - add [rcx + rax * 8], eax
01 04 c2 - add [rdx + rax * 8], eax
01 04 c3 - add [rbx + rax * 8], eax
01 04 c4 - add [rsp + rax * 8], eax
01 04 c5 xx xx xx xx - add [rax * 8 + x], eax
01 04 c6 - add [rsi + rax * 8], eax
01 04 c7 - add [rdi + rax * 8], eax
01 04 c8 - add [rax + rcx * 8], eax
01 04 c9 - add [rcx + rcx * 8], eax
01 04 ca - add [rdx + rcx * 8], eax
01 04 cb - add [rbx + rcx * 8], eax
01 04 cc - add [rsp + rcx * 8], eax
