08 04 98 - or [rax + rbx * 4], al
08 04 99 - or [rcx + rbx * 4], al
08 04 9a - or [rdx + rbx * 4], al
08 04 9b - or [rbx + rbx * 4], al
08 04 9c - or [rsp + rbx * 4], al
08 04 9d xx xx xx xx - or [rbx * 4 + x], al
08 04 9e - or [rsi + rbx * 4], al
08 04 9f - or [rdi + rbx * 4], al
08 04 a0 - or [rax], al
08 04 a1 - or [rcx], al
08 04 a2 - or [rdx], al
08 04 a3 - or [rbx], al
08 04 a4 - or [rsp], al
08 04 a5 xx xx xx xx - or [x], al
08 04 a6 - or [rsi], al
08 04 a7 - or [rdi], al
08 04 a8 - or [rax + rbp * 4], al
08 04 a9 - or [rcx + rbp * 4], al
08 04 aa - or [rdx + rbp * 4], al
08 04 ab - or [rbx + rbp * 4], al
08 04 ac - or [rsp + rbp * 4], al
08 04 ad xx xx xx xx - or [rbp * 4 + x], al
08 04 ae - or [rsi + rbp * 4], al
08 04 af - or [rdi + rbp * 4], al
08 04 b0 - or [rax + rsi * 4], al
08 04 b1 - or [rcx + rsi * 4], al
08 04 b2 - or [rdx + rsi * 4], al
08 04 b3 - or [rbx + rsi * 4], al
08 04 b4 - or [rsp + rsi * 4], al
08 04 b5 xx xx xx xx - or [rsi * 4 + x], al
08 04 b6 - or [rsi + rsi * 4], al
08 04 b7 - or [rdi + rsi * 4], al
08 04 b8 - or [rax + rdi * 4], al
08 04 b9 - or [rcx + rdi * 4], al
08 04 ba - or [rdx + rdi * 4], al
08 04 bb - or [rbx + rdi * 4], al
08 04 bc - or [rsp + rdi * 4], al
08 04 bd xx xx xx xx - or [rdi * 4 + x], al
08 04 be - or [rsi + rdi * 4], al
08 04 bf - or [rdi + rdi * 4], al
08 04 c0 - or [rax + rax * 8], al
08 04 c1 - or [rcx + rax * 8], al
08 04 c2 - or [rdx + rax * 8], al
08 04 c3 - or [rbx + rax * 8], al
08 04 c4 - or [rsp + rax * 8], al
08 04 c5 xx xx xx xx - or [rax * 8 + x], al
08 04 c6 - or [rsi + rax * 8], al
08 04 c7 - or [rdi + rax * 8], al
08 04 c8 - or [rax + rcx * 8], al
08 04 c9 - or [rcx + rcx * 8], al
08 04 ca - or [rdx + rcx * 8], al
08 04 cb - or [rbx + rcx * 8], al
08 04 cc - or [rsp + rcx * 8], al
08 04 cd xx xx xx xx - or [rcx * 8 + x], al
08 04 ce - or [rsi + rcx * 8], al
08 04 cf - or [rdi + rcx * 8], al
08 04 d0 - or [rax + rdx * 8], al
08 04 d1 - or [rcx + rdx * 8], al
08 04 d2 - or [rdx + rdx * 8], al
08 04 d3 - or [rbx + rdx * 8], al
08 04 d4 - or [rsp + rdx * 8], al
08 04 d5 xx xx xx xx - or [rdx * 8 + x], al
08 04 d6 - or [rsi + rdx * 8], al
08 04 d7 - or [rdi + rdx * 8], al
08 04 d8 - or [rax + rbx * 8], al
08 04 d9 - or [rcx + rbx * 8], al
08 04 da - or [rdx + rbx * 8], al
08 04 db - or [rbx + rbx * 8], al
08 04 dc - or [rsp + rbx * 8], al
08 04 dd xx xx xx xx - or [rbx * 8 + x], al
08 04 de - or [rsi + rbx * 8], al
08 04 df - or [rdi + rbx * 8], al
08 04 e0 - or [rax], al
08 04 e1 - or [rcx], al
08 04 e2 - or [rdx], al
08 04 e3 - or [rbx], al
08 04 e4 - or [rsp], al
08 04 e5 xx xx xx xx - or [x], al
08 04 e6 - or [rsi], al
08 04 e7 - or [rdi], al
08 04 e8 - or [rax + rbp * 8], al
08 04 e9 - or [rcx + rbp * 8], al
08 04 ea - or [rdx + rbp * 8], al
08 04 eb - or [rbx + rbp * 8], al
08 04 ec - or [rsp + rbp * 8], al
08 04 ed xx xx xx xx - or [rbp * 8 + x], al
08 04 ee - or [rsi + rbp * 8], al
08 04 ef - or [rdi + rbp * 8], al
08 04 f0 - or [rax + rsi * 8], al
08 04 f1 - or [rcx + rsi * 8], al
08 04 f2 - or [rdx + rsi * 8], al
08 04 f3 - or [rbx + rsi * 8], al
08 04 f4 - or [rsp + rsi * 8], al
08 04 f5 xx xx xx xx - or [rsi * 8 + x], al
08 04 f6 - or [rsi + rsi * 8], al
08 04 f7 - or [rdi + rsi * 8], al
08 04 f8 - or [rax + rdi * 8], al
08 04 f9 - or [rcx + rdi * 8], al
08 04 fa - or [rdx + rdi * 8], al
08 04 fb - or [rbx + rdi * 8], al
08 04 fc - or [rsp + rdi * 8], al
08 04 fd xx xx xx xx - or [rdi * 8 + x], al
08 04 fe - or [rsi + rdi * 8], al
08 04 ff - or [rdi + rdi * 8], al
08 05 xx xx xx xx - or [rip + x], al
08 06 - or [rsi], al
08 07 - or [rdi], al

08 08 - or [rax], cl
08 09 - or [rcx], cl
08 0a - or [rdx], cl
08 0b - or [rbx], cl
08 0c 00 - or [rax + rax], cl
08 0c 01 - or [rcx + rax], cl
08 0c 02 - or [rdx + rax], cl
08 0c 03 - or [rbx + rax], cl
08 0c 04 - or [rsp + rax], cl
08 0c 05 xx xx xx xx - or [rax + x], cl
08 0c 06 - or [rsi + rax], cl
08 0c 07 - or [rdi + rax], cl
08 0c 08 - or [rax + rcx], cl
08 0c 09 - or [rcx + rcx], cl
08 0c 0a - or [rdx + rcx], cl
08 0c 0b - or [rbx + rcx], cl
08 0c 0c - or [rsp + rcx], cl
08 0c 0d xx xx xx xx - or [rcx + x], cl
08 0c 0e - or [rsi + rcx], cl
08 0c 0f - or [rdi + rcx], cl
08 0c 10 - or [rax + rdx], cl
08 0c 11 - or [rcx + rdx], cl
08 0c 12 - or [rdx + rdx], cl
08 0c 13 - or [rbx + rdx], cl
08 0c 14 - or [rsp + rdx], cl
08 0c 15 xx xx xx xx - or [rdx + x], cl
